date,open,high,low,close,adj_close,open_adj,high_adj,low_adj,volume
2015-01-02,314.79998779296875,321.0,305.5,321.0,310.0278015136719,304.0397138068064,310.0278015136719,295.0576117209556,64672
2015-01-05,316.0,316.0,295.0,298.5,288.296875,305.19870184254603,305.19870184254603,284.9165096314908,109316
2015-01-06,299.0,303.0,291.25,297.25,287.089599609375,288.7797822815917,292.6430569609441,281.2946875903464,78147
2015-01-07,300.6000061035156,303.0,290.0,298.95001220703125,288.73150634765625,290.3251012757155,292.64306021420595,280.08741736673176,90222
2015-01-08,307.0,307.0,294.0,298.0,287.8139953613281,296.50636434875076,296.50636434875076,283.9507202558069,89410
2015-01-09,300.0,300.5,295.04998779296875,299.0,288.77978515625,289.74560383570235,290.22851317542853,284.96478958263447,54740
2015-01-12,298.0,298.0,286.0,288.0,278.1557922363281,287.8139794667562,287.8139794667562,276.22415479024255,45146
2015-01-13,286.5,290.0,276.0,277.0,267.53179931640625,276.7070776323119,280.08744332764553,266.5659805463109,102042
2015-01-14,277.0,289.0,274.0,288.5,278.63873291015625,267.5318163470131,279.1216423259451,264.6343598522801,87614
2015-01-15,294.0,298.0,288.5,289.0,279.12164306640625,283.95073723710533,287.81401257366457,278.63873364933636,82181
2015-01-16,290.0,298.25,290.0,297.0,286.8481750488281,280.0874436503709,288.0554485128383,280.0874436503709,63089
2015-01-19,303.0,303.0,294.0,296.0,285.8823547363281,292.64308609833586,292.64308609833586,283.9507172043259,10994
2015-01-20,300.0,300.0,290.0,290.1000061035156,280.1839904785156,289.74558902133043,289.74558902133043,280.0874027206194,51885
2015-01-21,294.0,299.8999938964844,292.0,293.5,283.4678039550781,283.95071333149224,289.6490380782888,282.01907582583584,46152
2015-01-22,295.0,302.0,293.0,301.8999938964844,291.5806884765625,284.916544682274,291.67727625100594,282.98490709120773,52993
2015-01-23,304.0,304.0,295.0,298.0,287.8139953613281,293.6089080196099,293.6089080196099,284.91653903218725,24875
2015-01-26,297.0,300.0,293.0,299.0,288.77978515625,286.8481477973453,289.74560383570235,282.98487307953593,57988
2015-01-27,298.0,309.0,295.0,308.0,297.47216796875,287.8139806970373,298.43798669592127,284.9165245155236,129826
2015-01-28,308.0,308.0,290.0,297.0,286.8481750488281,297.47218153211804,297.47218153211804,280.0874436503709,74925
2015-01-29,296.0,296.0,284.5,284.6000061035156,274.87200927734375,285.88233661702895,285.88233661702895,274.7754215119755,46422
2015-01-30,286.0,293.0,275.0,289.0,279.12164306640625,276.22418656398685,282.98491840296555,265.60017938844885,64168
2015-02-02,294.0,294.0,286.0,289.0,279.12164306640625,283.95073723710533,283.95073723710533,276.22418656398685,34265
2015-02-03,295.0,303.8999938964844,293.20001220703125,302.0,291.67724609375,284.9165152240273,293.5122957206423,283.1780533615919,133055
2015-02-04,302.5,309.0,295.1000061035156,299.5,289.2626953125,292.1601513590359,298.437972793197,285.01309900580344,125607
2015-02-05,299.8999938964844,308.0,298.0,305.0,294.5746765136719,289.6489957000297,297.47213234823255,287.8139462330302,53213
2015-02-06,305.0,309.0,300.5,306.0,295.54052734375,294.5747086269403,298.4379834941789,290.22852440129697,87102
2015-02-09,302.8999938964844,308.0,301.70001220703125,305.5,295.0576477050781,292.54651289354894,297.4721947403079,291.3875480013093,38660
2015-02-10,307.95001220703125,307.95001220703125,298.0,303.0,292.64306640625,297.42388076603214,297.42388076603214,287.8139729011964,70094
2015-02-11,300.0,308.0,300.0,308.0,297.47216796875,289.74561815137986,297.47216796875,289.74561815137986,46246
2015-02-12,308.0,317.5,307.5,317.5,306.6474914550781,297.4722121831939,306.6474914550781,296.9893027478316,79861
2015-02-13,319.0,332.0,317.5,330.0,318.7201843261719,308.09617818196614,320.6518218069366,306.64745007139265,111430
2015-02-18,332.1000061035156,333.0,323.04998779296875,328.5,317.2714538574219,320.748407191845,321.6176381568386,312.0077299716821,52306
2015-02-19,324.0,324.0,315.0,321.5,310.5107421875,312.9252891718507,312.9252891718507,304.2329200281882,53610
2015-02-20,320.0,320.0,314.0,314.0,303.26708984375,309.06200238853506,309.06200238853506,303.26708984375,39078
2015-02-23,314.0,314.0,305.0,307.0,296.50634765625,303.2670787103013,303.2670787103013,294.57471021223535,70376
2015-02-24,301.04998779296875,311.0,301.04998779296875,304.0,293.6089172363281,290.7597399667873,300.3696488832173,290.7597399667873,47068
2015-02-25,304.0,309.0,300.0,306.5,296.0234680175781,293.6089209701264,298.4380150650298,289.7456456942037,80925
2015-02-26,309.5,309.5,296.5,296.5,286.3652648925781,298.92090888449553,298.92090888449553,286.3652648925781,70292
2015-02-27,305.0,308.0,295.5,308.0,297.47216796875,294.5747117872362,297.47216796875,285.39943387910915,81437
2015-03-02,310.0,312.0,304.0,305.5,295.0576477050781,299.4038323684917,301.3354699966755,293.60891948394027,58713
2015-03-03,305.5,312.0,305.5,312.0,301.33544921875,295.05762736002606,301.33544921875,295.05762736002606,69603
2015-03-04,312.0,315.8999938964844,307.1000061035156,315.8999938964844,305.1021728515625,301.335485181682,305.1021728515625,296.6029786490397,72533
2015-03-05,315.0,320.75,314.0,320.0,309.06201171875,304.23291778564453,309.78637580871583,303.26709899902346,100079
2015-03-06,322.0,323.0,309.0,310.0,299.4038391113281,310.99366514144407,311.95948397728705,298.43802027548514,77995
2015-03-09,312.0,316.0,310.0,311.0,300.3695983886719,301.3354170330084,305.1986916103547,299.4037797443353,83224
2015-03-10,309.0,310.0,303.0,305.5,295.0576477050781,298.4380135543998,299.4038323684917,292.64310066984837,51093
2015-03-11,305.0,314.0,305.0,312.0,301.33544921875,294.5747179862781,303.267086713742,294.5747179862781,83254
2015-03-12,313.1000061035156,328.0,313.1000061035156,319.04998779296875,308.1444091796875,302.3978062570251,316.78849734519537,302.3978062570251,176751
2015-03-13,316.5,320.0,311.25,320.0,309.06201171875,305.6816459655762,309.06201171875,300.61109733581543,104844
2015-03-16,320.0,335.8999938964844,319.0,335.8999938964844,324.41851806640625,309.0620055600321,324.41851806640625,308.096186792657,199924
2015-03-17,336.0,344.0,333.6000061035156,337.5,325.9638366699219,324.51510850694444,332.24165870949076,322.19714934107054,196586
2015-03-18,337.5,350.0,327.5,347.0,335.1391296386719,325.963850873348,338.03658609087944,316.3056626993229,128751
2015-03-19,349.5,350.0,336.0,346.29998779296875,334.4630126953125,337.55364440525443,338.0365537677798,324.5150916170686,193340
2015-03-20,352.0,356.79998779296875,349.5,355.5,343.3485412597656,339.9681758746484,344.6040937558875,337.5536291709932,168372
2015-03-25,354.0,354.0,344.95001220703125,344.95001220703125,333.1592102050781,341.8998586433263,341.8998586433263,333.1592102050781,56788
2015-03-26,346.0,349.0,327.04998779296875,330.5,319.2030944824219,334.17328499521324,337.0707412234954,315.87100803011776,84723
2015-03-27,331.95001220703125,334.45001220703125,322.29998779296875,334.0,322.5834655761719,320.603548909571,323.0180958075962,311.283374303634,48515
2015-03-30,333.0,336.25,330.0,335.6000061035156,324.1287841796875,321.61764948998086,324.75656048350174,318.7201931882694,69913
2015-03-31,334.0,335.5,328.0,331.5,320.1689147949219,322.58346166366186,324.0321897849059,316.7885491786859,80023
2015-04-01,332.0,338.0,331.0,338.0,326.44677734375,320.6518641364645,326.44677734375,319.6860452685836,81394
2015-04-06,340.20001220703125,358.5,340.20001220703125,356.8999938964844,344.70074462890625,328.57158738013027,346.2460606970612,328.57158738013027,121434
